question,gold answers,predicted answer,correct,system
Estelle Parsons won a best supporting actress Oscar for her role in which 1967 film?,"['bonnie&clyde', 'clyde chestnut barrow', 'bonnie clide', 'bonnie clyde', 'clyde barrow', 'bonny & clyde', 'clyde champion barrow', 'prentiss oakley', 'prentis oakley', 'roy thornton', 'bonney parker', 'bonny and clyde', 'bonnie & clide', 'the story of bonnie and clyde', 'barrow gang', 'bonnie parker', 'bonny + clyde', 'bonnie and clyde', 'bonnie parker and clyde barrow', 'bonnie elizabeth parker', 'bonnie & clyde', 'bonny clyde', 'bonnie + clyde', 'story of bonnie and clyde']",In the Heat of the Night,No,['verbalized-GLM-4.6V-Flash']
Art Garfunkel trained for which profession although he didn't qualify?,"['registered architect', 'stanford downey architects inc.', 'architecht', 'clifford & lawrie', 'master builder (occupation)', 'architect', 'architects', 'master builder occupation', 'stanford downey architects inc', 'clifford lawrie', 'hok canada, inc.', 'graziani corazza', 'architechts', 'graziani + corazza', 'hok canada inc']",Barber,No,['verbalized-Ministral-3-8B-Instruct-2512']
Art Garfunkel trained for which profession although he didn't qualify?,"['stanford downey architects inc', 'architechts', 'master builder (occupation)', 'hok canada, inc.', 'architect', 'graziani + corazza', 'master builder occupation', 'graziani corazza', 'registered architect', 'clifford & lawrie', 'architects', 'clifford lawrie', 'hok canada inc', 'architecht', 'stanford downey architects inc.']",priest,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
Art Garfunkel trained for which profession although he didn't qualify?,"['architechts', 'architect', 'clifford & lawrie', 'architects', 'registered architect', 'hok canada, inc.', 'stanford downey architects inc', 'master builder occupation', 'stanford downey architects inc.', 'architecht', 'hok canada inc', 'master builder (occupation)', 'graziani corazza', 'graziani + corazza', 'clifford lawrie']",Lawyer,No,"['is_true-Qwen3.5-4B', 'is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-4B', 'label_prob-Qwen3.5-9B']"
Art Garfunkel trained for which profession although he didn't qualify?,"['architecht', 'hok canada inc', 'master builder (occupation)', 'stanford downey architects inc', 'architect', 'master builder occupation', 'registered architect', 'stanford downey architects inc.', 'graziani corazza', 'graziani + corazza', 'clifford & lawrie', 'architects', 'clifford lawrie', 'architechts', 'hok canada, inc.']",Law,No,['verbalized-Qwen3.5-4B']
Art Garfunkel trained for which profession although he didn't qualify?,"['master builder occupation', 'stanford downey architects inc.', 'master builder (occupation)', 'clifford lawrie', 'clifford & lawrie', 'architects', 'registered architect', 'architecht', 'graziani corazza', 'architechts', 'graziani + corazza', 'hok canada inc', 'hok canada, inc.', 'stanford downey architects inc', 'architect']",Mathematics teacher,No,"['is_true-gemini-2.5-flash', 'label_prob-gemini-2.5-flash', 'verbalized-gemini-2.5-flash']"
Art Garfunkel trained for which profession although he didn't qualify?,"['hok canada inc', 'master builder (occupation)', 'architect', 'stanford downey architects inc.', 'architechts', 'architects', 'hok canada, inc.', 'clifford & lawrie', 'registered architect', 'graziani + corazza', 'stanford downey architects inc', 'master builder occupation', 'clifford lawrie', 'architecht', 'graziani corazza']",Pilot,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash', 'verbalized-GLM-4.6V-Flash', 'verbalized-Qwen3.5-9B']"
Who played Brad Pitt’s wife Theresa Mills in the film ‘Seven’?,"['gwennyth paltrow', 'gwneth paltrow', 'gwenyth paltrow', 'gwyneth paltro', 'gwyneth k. paltrow', 'apple blythe alison martin', 'goop com', 'gwyneth k paltrow', 'gwynneth paltrow', 'goop.com', 'gwynyth paltrow', 'gwynnyth paltrow', 'gwyneth paltrow', 'gwenneth paltrow', 'gweneth paltrow', 'apple martin', 'gwyneth kate paltrow']",Brad Pitt's wife Theresa Mills in the film 'Seven' was played by Gwyneth Paltrow.,Yes,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B']"
Who played Brad Pitt’s wife Theresa Mills in the film ‘Seven’?,"['gwyneth paltrow', 'gwynnyth paltrow', 'gwenyth paltrow', 'gweneth paltrow', 'gwyneth k paltrow', 'goop.com', 'gwyneth kate paltrow', 'apple blythe alison martin', 'gwyneth k. paltrow', 'gwynyth paltrow', 'gwneth paltrow', 'apple martin', 'gwyneth paltro', 'goop com', 'gwenneth paltrow', 'gwynneth paltrow', 'gwennyth paltrow']",Juliette Lewis,No,['verbalized-GLM-4.6V-Flash']
Who played Brad Pitt’s wife Theresa Mills in the film ‘Seven’?,"['gwenneth paltrow', 'gwenyth paltrow', 'goop com', 'apple martin', 'goop.com', 'gwynnyth paltrow', 'gwyneth k paltrow', 'gwyneth paltrow', 'gwyneth kate paltrow', 'gweneth paltrow', 'gwyneth k. paltrow', 'gwennyth paltrow', 'gwynneth paltrow', 'gwynyth paltrow', 'gwneth paltrow', 'apple blythe alison martin', 'gwyneth paltro']",Morgan Freeman,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
Who played Brad Pitt’s wife Theresa Mills in the film ‘Seven’?,"['apple blythe alison martin', 'gwyneth paltro', 'goop.com', 'gwynnyth paltrow', 'apple martin', 'gweneth paltrow', 'gwyneth kate paltrow', 'gwynneth paltrow', 'gwennyth paltrow', 'gwynyth paltrow', 'gwyneth k paltrow', 'gwyneth paltrow', 'goop com', 'gwneth paltrow', 'gwenneth paltrow', 'gwyneth k. paltrow', 'gwenyth paltrow']",No one,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B', 'verbalized-Qwen3.5-4B']"
In which city was John Lennon murdered?,"['state new york', 'ny (state)', 'the state of new york', 'n.y.', 'nyja-jorvik', 'state of n.y.', 'n y u s state', 'estado de nueva york', 'new york, us', 'state of n y', 'religion in new york', 'new york (u.s. state', 'new york population', 'new york us', ""new york's"", 'n. y.', 'n.y. (u.s. state)', 'new york (usa state)', 'estado nueva york', 'eleventh state', 'state of ny', 'new-york', 'nyja jorvik', 'new york (u.s. state)', 'nueva york estado', 'neo york', 'new york, u.s.', 'nueva york (estado)', 'state of n. y.', 'state of new yourk', 'ny (u.s. state)', 'new york u s', 'new yrok', 'n y', 'newyork', 'us-ny', 'new yourk state', 'state of new york', 'u.s. state of new york', 'the state of n.y.', 'us state of new york', 'n y (state)', 'new york state s', 'the state of n y', 'ny u s state', '11th state', 'n y state', 'n. y. (state)', 'n. y. (u.s. state)', 'n.y. (state)', 'ny state', 'the state of ny', 'nýja-jórvík', 'new york u s state', 'new york (state)', 'new yourk', 'nys', 'the state of n. y.', 'n.y. state', 'n. y. state', 'nýja jórvík', 'nova york', 'new york state', 'n y (u.s. state)', ""new york state's"", 'ny', 'us ny', 'u s state of new york', 'new york, u.s.a', 'new york s', 'new york usa state', 'new york']",New York City,No,"['is_true-GLM-4.6V-Flash', 'is_true-Ministral-3-8B-Instruct-2512', 'is_true-Qwen3.5-4B', 'is_true-Qwen3.5-9B', 'is_true-gemini-2.5-flash', 'is_true-gemini-2.5-pro', 'label_prob-GLM-4.6V-Flash', 'label_prob-Ministral-3-8B-Instruct-2512', 'label_prob-Qwen3.5-4B', 'label_prob-Qwen3.5-9B', 'label_prob-gemini-2.5-flash', 'label_prob-gemini-2.5-pro', 'verbalized-GLM-4.6V-Flash', 'verbalized-Ministral-3-8B-Instruct-2512', 'verbalized-Qwen3.5-4B', 'verbalized-Qwen3.5-9B', 'verbalized-gemini-2.5-flash', 'verbalized-gemini-2.5-pro']"
In which city was John Lennon murdered?,"['n y (u.s. state)', ""new york state's"", 'new york state s', 'nýja jórvík', 'n y state', 'new york, us', 'n y (state)', 'new york us', 'n y', 'new york', 'new york u s state', 'ny (state)', 'the state of n. y.', 'n. y.', 'ny (u.s. state)', 'new york s', 'state of n y', 'estado de nueva york', 'nova york', 'new york state', 'us ny', 'neo york', 'nueva york (estado)', 'new york (u.s. state)', 'new york (u.s. state', 'n. y. (state)', 'state of n.y.', 'the state of n y', 'new york population', 'nueva york estado', 'new yourk', 'ny state', 'state of ny', 'newyork', 'ny u s state', 'the state of n.y.', 'nýja-jórvík', 'n. y. (u.s. state)', 'new york u s', 'us-ny', 'n.y. (u.s. state)', 'state new york', 'state of new york', 'state of new yourk', '11th state', 'eleventh state', 'religion in new york', 'the state of ny', 'new york usa state', 'new yourk state', 'n y u s state', 'nyja jorvik', 'n.y. (state)', 'u s state of new york', 'u.s. state of new york', 'ny', ""new york's"", 'new yrok', 'state of n. y.', 'n.y. state', 'nyja-jorvik', 'new york (state)', 'new york, u.s.a', 'new york, u.s.', 'new york (usa state)', 'the state of new york', 'us state of new york', 'estado nueva york', 'new-york', 'n.y.', 'nys', 'n. y. state']",New York City,Yes,['verbalized-gemini-2.5-flash-lite']
Which of the London Livery Companies is first in order of preference?,"[""the mercers' company"", 'mercers hall', ""mercers' guild"", 'mercers guild', 'mercers', 'mercers company', 'worshipful company of mercers', ""mercers' company"", ""mercers' hall""]",The Worshipful Company of Bankers,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B', 'verbalized-Qwen3.5-4B']"
Which of the London Livery Companies is first in order of preference?,"['mercers', ""mercers' guild"", ""mercers' hall"", ""the mercers' company"", 'mercers hall', ""mercers' company"", 'worshipful company of mercers', 'mercers guild', 'mercers company']",The Worshipful Company of Mercers,No,"['is_true-gemini-2.5-pro', 'label_prob-gemini-2.5-pro', 'verbalized-gemini-2.5-pro']"
Which of the London Livery Companies is first in order of preference?,"[""the mercers' company"", 'mercers hall', ""mercers' guild"", 'mercers guild', ""mercers' hall"", 'worshipful company of mercers', 'mercers', ""mercers' company"", 'mercers company']",Worshipful Company of Goldsmiths,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
Which of the London Livery Companies is first in order of preference?,"[""mercers' hall"", ""mercers' guild"", 'worshipful company of mercers', 'mercers guild', 'mercers', 'mercers company', ""the mercers' company"", 'mercers hall', ""mercers' company""]",Worshipful Company of Fishmongers,No,['verbalized-Ministral-3-8B-Instruct-2512']
Which of the London Livery Companies is first in order of preference?,"[""mercers' guild"", 'mercers hall', 'mercers guild', ""mercers' hall"", 'mercers company', 'mercers', ""mercers' company"", 'worshipful company of mercers', ""the mercers' company""]",The Worshipful Company of Merchant Taylors,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B', 'verbalized-Qwen3.5-9B']"
"On 30 September 1399, Henry Bolingbroke, Duke of Lancaster, became better known as whom?","['king henry iv of england', 'henry iv (england)', 'henry iv of england', 'henry iiii of england', 'henry iv king of england', 'henry bolinbroke', 'henry bolingbroke', 'henry of bolingbroke', 'henry iv, king of england', 'henry iv england', 'henry iv (of england)', 'henry bollinbroke']",King Henry IV,Yes,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash', 'verbalized-GLM-4.6V-Flash']"
"On 30 September 1399, Henry Bolingbroke, Duke of Lancaster, became better known as whom?","['henry iv (of england)', 'henry iiii of england', 'henry bollinbroke', 'henry of bolingbroke', 'henry iv king of england', 'henry iv england', 'henry iv (england)', 'henry iv, king of england', 'henry bolinbroke', 'henry bolingbroke', 'king henry iv of england', 'henry iv of england']",Henry VII,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
"On 30 September 1399, Henry Bolingbroke, Duke of Lancaster, became better known as whom?","['king henry iv of england', 'henry bolinbroke', 'henry iv (of england)', 'henry of bolingbroke', 'henry iv (england)', 'henry iv england', 'henry iv, king of england', 'henry bolingbroke', 'henry iv king of england', 'henry bollinbroke', 'henry iv of england', 'henry iiii of england']",Henry IV,Yes,"['verbalized-Qwen3.5-4B', 'verbalized-Qwen3.5-9B', 'verbalized-gemini-2.5-flash-lite']"
"On 30 September 1399, Henry Bolingbroke, Duke of Lancaster, became better known as whom?","['henry bolinbroke', 'henry iv king of england', 'henry bollinbroke', 'henry iv (of england)', 'henry iv (england)', 'king henry iv of england', 'henry iiii of england', 'henry iv, king of england', 'henry iv england', 'henry bolingbroke', 'henry of bolingbroke', 'henry iv of england']",King Henry IV,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B', 'verbalized-gemini-2.5-flash']"
"On 30 September 1399, Henry Bolingbroke, Duke of Lancaster, became better known as whom?","['henry bolingbroke', 'henry iv of england', 'henry iv (england)', 'henry iiii of england', 'henry iv (of england)', 'king henry iv of england', 'henry iv england', 'henry of bolingbroke', 'henry bollinbroke', 'henry bolinbroke', 'henry iv king of england', 'henry iv, king of england']",Henry IV,No,"['is_true-Ministral-3-8B-Instruct-2512', 'is_true-gemini-2.5-flash', 'is_true-gemini-2.5-flash-lite', 'label_prob-Ministral-3-8B-Instruct-2512', 'label_prob-gemini-2.5-flash', 'label_prob-gemini-2.5-flash-lite']"
"Which US author wrote ‘The Naked and the Dead’, based on his military service in World War II?","['the prisoner of sex', 'norman kingsley mailer', 'norman mailer', 'maileresque', 'prisoner of sex', 'mailer norman', 'norman kingsley', 'mailer, norman', 'mailerian']",Ernest Hemingway,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
In which English city is the Anglican cathedral dedicated to St. Philip and the Catholic one to St. Chad?,"[""b'ham"", 'the weather in birmingham', 'weather in birmingham', 'birmingham, uk', 'birmingham, west midlands', 'birminghamian', 'un locode gbbhm', 'england birmingham', 'nelson mandela primary school', 'city of a thousand trades', 'metropolitan borough of birmingham', 'city of birmingham', 'city of thousand trades', 'birmingham borough', 'birmingham united kingdom', 'great barr primary school', 'city of thousand and one trades', 'birmingham west midlands', 'birmingham', 'b ham', 'birmingham uk', 'birmingham (borough)', 'crime and policing in birmingham', 'birmingham, united kingdom', 'birmingham corporation', 'birmingham heritage festival', 'birmingham england', 'birmingham artistic figures', 'bournville junior school', 'county borough of birmingham', 'birmingham, england', 'un/locode:gbbhm', 'city of a thousand and one trades', 'bimringham', 'birmingham overspill', 'beormingham']",Chester,No,['verbalized-Qwen3.5-4B']
"Terry Molloy, David Gooderson and Julian Bleach have all portrayed which villain in the UK television series Dr Who?","['creator of the daleks', 'davros', 'creator of daleks']",Morbius,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash', 'verbalized-GLM-4.6V-Flash']"
"Terry Molloy, David Gooderson and Julian Bleach have all portrayed which villain in the UK television series Dr Who?","['creator of daleks', 'creator of the daleks', 'davros']",The Master,No,"['is_true-Ministral-3-8B-Instruct-2512', 'is_true-Qwen3.5-4B', 'is_true-Qwen3.5-9B', 'label_prob-Ministral-3-8B-Instruct-2512', 'label_prob-Qwen3.5-4B', 'label_prob-Qwen3.5-9B', 'verbalized-Ministral-3-8B-Instruct-2512', 'verbalized-Qwen3.5-4B', 'verbalized-Qwen3.5-9B']"
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?","['mary debra winger', 'deborah winger', 'debra winger']",Danielle Panabaker,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?","['deborah winger', 'debra winger', 'mary debra winger']",Lynda Carter,No,"['is_true-Qwen3.5-9B', 'is_true-gemini-2.5-flash-lite', 'label_prob-Qwen3.5-9B', 'label_prob-gemini-2.5-flash-lite', 'verbalized-GLM-4.6V-Flash', 'verbalized-Qwen3.5-9B', 'verbalized-gemini-2.5-flash-lite']"
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?","['deborah winger', 'mary debra winger', 'debra winger']",Drusilla,No,['verbalized-Qwen3.5-4B']
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?","['debra winger', 'mary debra winger', 'deborah winger']",Gal Gadot,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash']"
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?","['deborah winger', 'mary debra winger', 'debra winger']",Haley Hill,No,['verbalized-Ministral-3-8B-Instruct-2512']
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?","['debra winger', 'mary debra winger', 'deborah winger']",Halle Berry,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
Erotology is the study of what?,"['sex (biological division)', 'sex.', 'genetic sex', 'seks', 'word sex', 'aphrodisiasm', 'biological sex', 'pseques', 'sexuality biology', 'sexuality (biology)', 'sex terms', 'the word sex', 'sexs', 'biological sexes', 'sexes', 'sex', 'sex in plants', 'sex biological division', 'anatomical sex']",Erotology is the study of eroticism or sexual behavior.,No,['verbalized-Qwen3.5-4B']
Erotology is the study of what?,"['sexes', 'sex biological division', 'genetic sex', 'sex (biological division)', 'sexs', 'word sex', 'sex terms', 'pseques', 'sex in plants', 'sex.', 'the word sex', 'anatomical sex', 'sex', 'sexuality biology', 'biological sexes', 'sexuality (biology)', 'biological sex', 'seks', 'aphrodisiasm']",Erotology is the study of what?,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
Erotology is the study of what?,"['sex in plants', 'aphrodisiasm', 'genetic sex', 'anatomical sex', 'sex.', 'pseques', 'biological sex', 'sex terms', 'sexes', 'biological sexes', 'sex biological division', 'sex (biological division)', 'seks', 'sexuality biology', 'sexuality (biology)', 'word sex', 'sex', 'the word sex', 'sexs']",Love,No,"['is_true-gemini-2.5-flash', 'is_true-gemini-2.5-pro', 'label_prob-gemini-2.5-flash', 'label_prob-gemini-2.5-pro', 'verbalized-gemini-2.5-flash', 'verbalized-gemini-2.5-pro']"
Erotology is the study of what?,"['sexuality (biology)', 'anatomical sex', 'aphrodisiasm', 'pseques', 'sexuality biology', 'sex (biological division)', 'biological sex', 'seks', 'sex terms', 'sex', 'biological sexes', 'sex in plants', 'genetic sex', 'sexs', 'word sex', 'sexes', 'sex.', 'sex biological division', 'the word sex']",Love and sexual desire,No,"['is_true-gemini-2.5-flash-lite', 'label_prob-gemini-2.5-flash-lite', 'verbalized-gemini-2.5-flash-lite']"
Erotology is the study of what?,"['genetic sex', 'anatomical sex', 'sex biological division', 'the word sex', 'biological sex', 'word sex', 'sexuality biology', 'aphrodisiasm', 'sex (biological division)', 'sexuality (biology)', 'sexes', 'sexs', 'pseques', 'sex.', 'sex', 'sex terms', 'sex in plants', 'biological sexes', 'seks']",The study of love.,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B']"
Erotology is the study of what?,"['biological sex', 'biological sexes', 'seks', 'sexuality biology', 'sex', 'sex terms', 'anatomical sex', 'the word sex', 'sexs', 'sex biological division', 'genetic sex', 'sex in plants', 'pseques', 'sexuality (biology)', 'sexes', 'sex (biological division)', 'aphrodisiasm', 'word sex', 'sex.']","eroticism, human sexuality, and sexual behavior",No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
Erotology is the study of what?,"['sex (biological division)', 'sexuality (biology)', 'sexes', 'sex in plants', 'biological sexes', 'word sex', 'genetic sex', 'sex', 'sex biological division', 'aphrodisiasm', 'sexs', 'the word sex', 'pseques', 'sex terms', 'biological sex', 'sex.', 'anatomical sex', 'sexuality biology', 'seks']",sexuality,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash']"
Erotology is the study of what?,"['biological sexes', 'sex biological division', 'sex', 'the word sex', 'pseques', 'aphrodisiasm', 'seks', 'biological sex', 'word sex', 'sexs', 'genetic sex', 'sexes', 'sex (biological division)', 'sexuality biology', 'sexuality (biology)', 'anatomical sex', 'sex.', 'sex terms', 'sex in plants']",study of love,No,['verbalized-Qwen3.5-9B']
Erotology is the study of what?,"['anatomical sex', 'seks', 'pseques', 'sex terms', 'sexes', 'biological sex', 'sex (biological division)', 'the word sex', 'sexuality biology', 'sex in plants', 'biological sexes', 'sex', 'word sex', 'genetic sex', 'aphrodisiasm', 'sex biological division', 'sex.', 'sexuality (biology)', 'sexs']","Erotology** is the study of **eroticism, love, and human sexuality** (broadly, including cultural, psychological, and philosophical aspects).",No,['verbalized-Ministral-3-8B-Instruct-2512']
Erotology is the study of what?,"['sex', 'anatomical sex', 'aphrodisiasm', 'word sex', 'sexs', 'sex biological division', 'seks', 'sexuality biology', 'biological sex', 'pseques', 'genetic sex', 'sexes', 'the word sex', 'sex in plants', 'sex (biological division)', 'sex terms', 'sexuality (biology)', 'sex.', 'biological sexes']",sexual behavior,No,['verbalized-GLM-4.6V-Flash']
What homonymic word refers both to a pit and a hunted animal?,"['quarrys', 'rock quarries', 'quarrying', 'stone quarry', 'stone pit', 'quarry and quarrying', 'quarry', 'super quarry', 'quary', 'marble quarry', 'rock quarry', 'quarries', 'quarry process', 'superquarry', 'quarried', 'quarryman']",fox,No,['verbalized-GLM-4.6V-Flash']
What homonymic word refers both to a pit and a hunted animal?,"['quarries', 'quarryman', 'quarry and quarrying', 'quary', 'rock quarries', 'superquarry', 'quarried', 'super quarry', 'stone pit', 'quarrying', 'quarrys', 'stone quarry', 'quarry', 'marble quarry', 'quarry process', 'rock quarry']",boar,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B', 'verbalized-Qwen3.5-4B', 'verbalized-Qwen3.5-9B']"
What homonymic word refers both to a pit and a hunted animal?,"['stone quarry', 'stone pit', 'quarry process', 'quarried', 'superquarry', 'quarry and quarrying', 'quary', 'rock quarry', 'quarries', 'quarryman', 'rock quarries', 'quarry', 'super quarry', 'marble quarry', 'quarrys', 'quarrying']",Game,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512', 'verbalized-Ministral-3-8B-Instruct-2512']"
What homonymic word refers both to a pit and a hunted animal?,"['marble quarry', 'quarrying', 'superquarry', 'super quarry', 'stone pit', 'quarrys', 'quarry', 'stone quarry', 'quarry process', 'quarries', 'rock quarry', 'quarryman', 'quary', 'quarried', 'rock quarries', 'quarry and quarrying']","""Hole""",No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B']"
What homonymic word refers both to a pit and a hunted animal?,"['quarrying', 'quary', 'quarries', 'rock quarry', 'super quarry', 'quarry process', 'superquarry', 'quarryman', 'quarry and quarrying', 'quarried', 'quarrys', 'marble quarry', 'stone quarry', 'quarry', 'rock quarries', 'stone pit']",Hare,No,['verbalized-gemini-2.5-flash-lite']
What homonymic word refers both to a pit and a hunted animal?,"['stone pit', 'quarried', 'super quarry', 'rock quarry', 'quarryman', 'marble quarry', 'superquarry', 'rock quarries', 'quarrying', 'quary', 'quarry and quarrying', 'quarry', 'quarries', 'stone quarry', 'quarrys', 'quarry process']",Trap,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash']"
The 1965 film ‘The Heroes of Telemark’ is set in which European country?,"['mainland norway', 'kongeriket noreg', 'norwegian kingdom', 'norwegia', 'noorwegen', 'noregur', 'noruega', 'kongeriket norge', 'norwegian state', 'name of norway', 'kingdom of norway', 'norvege', 'sport in norway', 'norway', 'iso 3166-1:no', 'norvège', 'norwegen', 'etymology of norway', 'noreg', 'royal kingdom of norway', 'iso 3166 1 no', 'republic of norway']",Norway.,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
"What separates Wales from Devon, England?","['welsh channel', 'bristol channel', 'aber henfelen', 'môr hafren', 'mor hafren']",The English Channel,No,"['is_true-Qwen3.5-4B', 'is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-4B', 'label_prob-Qwen3.5-9B', 'verbalized-Qwen3.5-4B', 'verbalized-Qwen3.5-9B']"
"What separates Wales from Devon, England?","['welsh channel', 'bristol channel', 'mor hafren', 'môr hafren', 'aber henfelen']",The Bristol Channel,No,"['is_true-Ministral-3-8B-Instruct-2512', 'is_true-gemini-2.5-flash-lite', 'label_prob-Ministral-3-8B-Instruct-2512', 'label_prob-gemini-2.5-flash-lite', 'verbalized-GLM-4.6V-Flash', 'verbalized-Ministral-3-8B-Instruct-2512']"
"What separates Wales from Devon, England?","['môr hafren', 'aber henfelen', 'mor hafren', 'welsh channel', 'bristol channel']",The River Tamar,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash']"
"Which 1989 music video of Madonna attracted criticism for showing images like her making love to Saint Martin de Porres, use of Catholic iconography including a scene where she develops stigmata as we...","['like a prayer (disambiguation)', 'like prayer', 'like prayer disambiguation', 'like a prayer', '""""""like a prayer""""""']",The Virgin Killer,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B', 'verbalized-Qwen3.5-4B']"
"Which 1989 music video of Madonna attracted criticism for showing images like her making love to Saint Martin de Porres, use of Catholic iconography including a scene where she develops stigmata as we...","['""""""like a prayer""""""', 'like a prayer', 'like prayer disambiguation', 'like a prayer (disambiguation)', 'like prayer']",Like a Virgin,No,['verbalized-GLM-4.6V-Flash']
"Which 1989 music video of Madonna attracted criticism for showing images like her making love to Saint Martin de Porres, use of Catholic iconography including a scene where she develops stigmata as we...","['like prayer disambiguation', '""""""like a prayer""""""', 'like prayer', 'like a prayer (disambiguation)', 'like a prayer']","""Like a Prayer""",No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512', 'verbalized-Ministral-3-8B-Instruct-2512']"
"In the culinary world, what word is used for the edible offal of a fowl, typically including the heart, gizzard and liver?","['giblet', 'giblets']",Tripe,No,['verbalized-Qwen3.5-4B']
"In the culinary world, what word is used for the edible offal of a fowl, typically including the heart, gizzard and liver?","['giblet', 'giblets']","**""Giblets""",No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
"In the culinary world, what word is used for the edible offal of a fowl, typically including the heart, gizzard and liver?","['giblet', 'giblets']",Foie gras,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash']"
"In the culinary world, what word is used for the edible offal of a fowl, typically including the heart, gizzard and liver?","['giblets', 'giblet']",Fowl's variety meats,No,['verbalized-Ministral-3-8B-Instruct-2512']
"In the culinary world, what word is used for the edible offal of a fowl, typically including the heart, gizzard and liver?","['giblets', 'giblet']",Offal,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
The ancient pre-scientific system of classifying all universal matter as Water/Air/Fire/Earth/Aether is called the Classical?,"['elenent', 'elements (disambiguation)', 'element (disambiguation)', 'element', 'the elements', 'elements (mike oldfield disambiguation)', 'elements', 'elements mike oldfield disambiguation', 'elements album', 'the elements (disambiguation)', 'elements mike oldfield', 'elements (album)', 'elements (mike oldfield)', 'the elements (album)', 'elements disambiguation', 'element disambiguation']",Classical Elements,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
The ancient pre-scientific system of classifying all universal matter as Water/Air/Fire/Earth/Aether is called the Classical?,"['elements', 'elements album', 'elenent', 'the elements', 'elements (album)', 'element disambiguation', 'element', 'element (disambiguation)', 'elements (mike oldfield)', 'elements disambiguation', 'elements mike oldfield disambiguation', 'the elements (album)', 'elements (disambiguation)', 'the elements (disambiguation)', 'elements (mike oldfield disambiguation)', 'elements mike oldfield']",Four Elements,No,['verbalized-gemini-2.5-flash-lite']
The ancient pre-scientific system of classifying all universal matter as Water/Air/Fire/Earth/Aether is called the Classical?,"['elenent', 'elements (album)', 'elements (mike oldfield disambiguation)', 'element', 'the elements', 'elements disambiguation', 'element (disambiguation)', 'the elements (disambiguation)', 'elements mike oldfield disambiguation', 'element disambiguation', 'elements album', 'elements (disambiguation)', 'elements (mike oldfield)', 'elements', 'the elements (album)', 'elements mike oldfield']",Elementalism,No,['verbalized-Ministral-3-8B-Instruct-2512']
